NOC 2021 Code,Occupation Title,Occupation Summary
74101,Letter carriers,"Letter carriers sort and deliver mail, record delivery of registered mail and collect money for cash-on-delivery parcels. They are employed by Canada Post Corporation."
74102,Couriers and messengers,"Couriers and messengers pick up and deliver letters, parcels, packages, messages and other items within and between establishments. They are employed by courier service companies and other establishments throughout the public and private sectors."
74200,Railway yard and track maintenance workers,"Railway yard workers regulate yard traffic, couple and uncouple trains and perform related yard activities. Railway track maintenance workers operate machines and equipment to lay, maintain and repair railway tracks. They are employed by railway transport companies."
74201,Water transport deck and engine room crew,"Water transport deck and engine room crew stand watch, operate and maintain deck equipment, perform other deck and bridge duties and assist ship engineer officers to operate, maintain and repair engines, machinery and auxiliary equipment aboard ships or self-propelled vessels. They are employed by marine transportation companies and federal government departments."
74202,Air transport ramp attendants,"Air transport ramp attendants operate ramp-servicing vehicles and equipment, handle cargo and baggage and perform other ground support duties at airports. They are employed by airline and air services companies and the federal government."
74203,Automotive and heavy truck and equipment parts installers and servicers,"Automotive and heavy truck and equipment parts installers and servicers install replacement automotive mechanical parts such as mufflers, exhaust pipes, shock absorbers, springs and radiators and perform routine maintenance service such as oil changes, lubrication and tire repairs on automobiles, trucks and heavy equipment. They are employed by automobile and truck service and repair shops, service departments of industrial establishments and construction, mining and logging companies."
74204,Utility maintenance workers,"Utility maintenance workers locate, repair, install and perform maintenance work to various equipment and facilities, such as water filtration and distribution plants, waste water treatment plants and power plants. They may also work on exterior and underground gas mains and distribution lines. They are employed by municipal, provincial and federal public works departments, private contractors under contract with government public works departments and gas distribution companies."
74205,Public works maintenance equipment operators and related workers,"Public works maintenance equipment operators and related workers operate vehicles and equipment to maintain streets, highways and sewer systems and operate trucks to collect garbage and recyclable materials. This unit group also includes workers who clear vegetation close to power lines. They are employed by municipal, provincial and federal public works departments, private contractors under contract with government public works departments and private companies involved in the collection of refuse and recyclable materials."
75100,Longshore workers,"Longshore workers transfer cargo throughout dock area and onto and from ships and other vessels. They are employed by marine cargo handling companies, shipping agencies and shipping lines."
75101,Material handlers,"Material handlers handle, move, load and unload materials by hand or using a variety of material handling equipment. They are employed by transportation, storage and moving companies, and by a variety of manufacturing and processing companies and retail and wholesale warehouses."
75110,Construction trades helpers and labourers,"Construction trades helpers and labourers assist skilled tradespersons and perform labouring activities at construction sites, in quarries and in surface mines. They are employed by construction companies, trade and labour contractors, and surface mine and quarry operators."
75119,Other trades helpers and labourers,"Other trades helpers and labourers assist skilled tradespersons and perform labouring activities in the installation, maintenance and repair of industrial machinery, refrigeration, heating and air conditioning equipment, in the maintenance and repair of transportation and heavy equipment, in the installation and repair of telecommunication and power cables and in other repair and service work settings. They are employed by a wide variety of manufacturing, utility and service companies."
75200,Taxi and limousine drivers and chauffeurs,"Taxi and limousine drivers drive automobiles and limousines to transport passengers. Chauffeurs drive automobiles and limousines to transport personnel and visitors of businesses, government or other organizations or members of private households. Taxi and limousine drivers are employed by taxi and other transportation service companies, or they may be self-employed. Chauffeurs are employed by businesses, government and other organizations, or private individuals or families."
75201,Delivery service drivers and door-to-door distributors,"Delivery service drivers drive automobiles, vans and light trucks to pick up and deliver various products. Door-to-door distributors deliver items to residences and businesses. They are employed by dairies, drug stores, newspaper distributors, take-out food establishments, dry cleaners, mobile caterers and many other establishments, or they may be self-employed."
75210,Boat and cable ferry operators and related occupations,"Boat and cable ferry operators and workers in related occupations operate lock gates, bridges and similar equipment along canal systems and operate cable ferries and ferry terminals. This unit group also includes boat operators, and owner-operators, who operate small motorboats or watercraft to transport passengers or freight. They are employed by the federal government, cable ferry companies, ferry terminals, marine companies and canal, port or harbour authorities. Owner-operators of small boats are self-employed."
75211,Railway and motor transport labourers,"Railway and motor transport labourers perform a variety of tasks to assist track maintenance workers and railway yard workers, or motor transport operators. They are employed by railway transport companies and motor transport companies."
75212,Public works and maintenance labourers,"Public works and maintenance labourers perform a variety of labouring activities to maintain sidewalks, streets, roads and similar areas. They are employed by public works departments in all levels of government or by private contractors under contract to governments."
80010,Managers in natural resources production and fishing,"Managers in natural resources production and fishing plan, organize, direct, control and evaluate the operations of establishments in forestry and logging, mining and quarrying, oil and gas drilling, production and servicing operations, and commercial fishing."
80020,Managers in agriculture,"Managers in agriculture plan, organize, direct, control and evaluate the operations and functions of farms. They are responsible for growing crops, raising and breeding livestock, poultry and other animals, marketing farm products and enhancing farms' sustainability through, notably, the implementation of new technologies. They usually own and operate their own establishment."
80021,Managers in horticulture,"Managers in horticulture plan, organize, direct and control the activities of nursery and greenhouse staff who grow and market trees, shrubs, flowers and plants."
80022,Managers in aquaculture,"Managers in aquaculture manage operations of facilities which cultivate and harvest fish, shellfish or marine plants for replenishment of wildlife stocks or for commercial sale. They are employed by public or private fish hatcheries and commercial aquatic farms, or they may be self-employed."
82010,"Supervisors, logging and forestry","Supervisors in logging and forestry supervise and coordinate the activities of workers engaged in logging operations and silvicultural operations. They are employed by logging companies, contractors and government agencies."
82020,"Supervisors, mining and quarrying","Supervisors in mining and quarrying supervise and coordinate activities of workers engaged in underground and surface mining operations and quarries. They are employed by coal, metal and non-metallic mineral mines and quarries."
82021,"Contractors and supervisors, oil and gas drilling and services","Contractors and supervisors in oil and gas drilling and services supervise and coordinate the activities in drilling for oil or gas, operating service rigs, or providing oil and gas well services. They are employed by drilling and well service contracting companies and petroleum producing companies. Contractors may be self-employed."
82030,Agricultural service contractors and farm supervisors,"Agricultural service contractors provide agricultural services such as livestock and poultry breeding, soil preparation, crop planting, crop spraying, cultivating or harvesting. Farm supervisors supervise the work of specialized livestock workers, farm machinery operators, livestock labourers, aquaculture labourers and harvesting labourers. They operate their own business or may be employed by farms and agricultural enterprises."
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","Contractors and supervisors, landscaping, grounds maintenance and horticulture services supervise and coordinate the activities of workers in the following unit groups: Nursery and greenhouse workers (85103) and Landscaping and grounds maintenance labourers (85191). They are employed by landscaping companies, cemeteries, lawn care and tree service companies, nurseries and greenhouses and by landscaping operations of public works departments and private establishments. Contractors may be self-employed."
83100,Underground production and development miners,"Underground production and development miners drill, blast, operate mining machinery, and perform related duties to extract coal and ore in underground mines and to construct tunnels, passageways and shafts to facilitate mining operations. They are employed by coal, metal and non-metallic mineral underground mines and by specialized contractors in mine construction, shaft sinking and tunnelling. Apprentices are also included in this unit group."
83101,"Oil and gas well drillers, servicers, testers and related workers","Oil and gas well drillers and well servicers control the operation of drilling and hoisting equipment on drilling and service rigs, and direct the activities of the rig crew under supervision of the rig manager. Oil and gas well loggers, testers and related workers operate specialized mechanical or electronic equipment, tools or instruments to provide services in conjunction with well drilling, completion or servicing. They are employed by drilling and well service contractors, petroleum producing companies and well logging or testing companies."
83110,Logging machinery operators,"Logging machinery operators operate cable yarding systems, mechanical harvesters and forwarders and mechanical tree processors and loaders to fell, yard and process trees at logging sites. They are employed by logging companies and contractors."
83120,Fishing masters and officers,Fishing masters and officers manage and operate saltwater and freshwater fishing vessels greater than 100 gross tonnes to pursue and land fish and other marine life. They are employed by establishments engaged in operating commercial fishing vessels.
83121,Fishermen/women,Fishermen/women operate fishing vessels less than 100 gross tonnes to pursue and land fish and other marine life. They are usually self-employed owner-operators of fishing vessels.
84100,Underground mine service and support workers,"Underground mine service and support workers perform a range of duties related to the operation of orepasses, chutes and conveyor systems, the construction and support of underground structures, passages and roadways, and the supply of materials and supplies to support underground mining. They are employed by coal, metal and non-metallic mineral mines."
84101,Oil and gas well drilling and related workers and services operators,"Oil and gas well drilling workers operate drilling and service rig machinery as intermediate members of the rig crew. Oil and gas well services operators drive trucks and operate specialized hydraulic pumping systems to place cement in wells or to treat wells with chemicals, sand mixtures or gases to stimulate production. They are employed by drilling and well service contractors and by petroleum producing companies."
84110,Chain saw and skidder operators,"Chain saw and skidder operators operate chain saws to fell, delimb and buck trees, and operate skidders to move or yard the felled trees from the logging site to the landing area for processing and transportation. They are employed by logging companies and contractors."
84111,Silviculture and forestry workers,"Silviculture and forestry workers perform a variety of duties related to reforestation and to the management, improvement and conservation of forest lands. They are employed by logging companies, contractors and government services."
84120,Specialized livestock workers and farm machinery operators,"Specialized livestock workers carry out feeding, health and breeding programs on dairy, beef, sheep, poultry, swine and other livestock farms. Farm machinery operators operate and maintain farm machinery and equipment. They are employed on crop, livestock, fruit, vegetable and specialty farms."
84121,Fishing vessel deckhands,"Fishing vessel deckhands perform a variety of manual tasks on commercial fishing voyages, and maintain fishing vessels. They are employed by establishments that operate commercial fishing vessels and by self-employed fishermen/women."
85100,Livestock labourers,"Livestock labourers assist other farm workers to raise cattle, poultry and other animals, to help carry out feeding, health and breeding programs, to process animal products and to assist in the maintenance and repair of farm equipment and buildings. They are employed on livestock farms."
85101,Harvesting labourers,"Harvesting labourers and related workers assist other farm workers to plant, harvest, sort and pack crops. They participate in soil preparation, irrigation and crop planting, spraying and thinning. They are employed on fruit, vegetable and specialty crop farms."
85102,Aquaculture and marine harvest labourers,"Aquaculture and marine harvest labourers include aquaculture support workers, marine plant gatherers, shellfish diggers and other labourers in aquaculture and fishing. Aquaculture support workers are employed by public or private fish hatcheries and commercial aquatic farms. Marine plant gatherers and mollusk harvesters may be self-employed."
85103,Nursery and greenhouse labourers,"Nursery and greenhouse labourers plant, cultivate and harvest trees, shrubs, flowers and plants, and serve nursery and greenhouse customers. They are employed in indoor and outdoor nurseries and greenhouses."
85104,Trappers and hunters,Trappers and hunters trap and hunt wild animals for pelts or live sale. They are usually self-employed and work on a seasonal basis.
85110,Mine labourers,"Mine labourers carry out a variety of general labouring duties to assist in the extraction of coal, minerals and ore, and in other services in support of underground mining. They are employed by coal, metal and non-metallic mineral mines."
85111,"Oil and gas drilling, servicing and related labourers","Oil and gas drilling, servicing and related labourers carry out a variety of general labouring duties and operate equipment to assist in the drilling and servicing of oil and gas wells. This unit group also includes labourers who assist in geophysical prospecting for oil and gas. They are employed by drilling and well servicing contractors and by petroleum producing companies."
85120,Logging and forestry labourers,"Logging and forestry labourers perform a variety of manual tasks such as attaching choker cables to logs, planting trees, clearing brush, spraying chemicals, cleaning up landing areas and assisting other workers in woodlands operations. They are employed by logging companies and contractors."
85121,Landscaping and grounds maintenance labourers,"Landscaping and grounds maintenance labourers perform work to assist in the construction of landscapes and related structures, and to maintain lawns, gardens, athletic fields, golf courses, cemeteries, parks, landscaped interiors and other landscaped areas. They are employed by landscaping and lawn care companies, golf courses, cemeteries, and landscaping operations of public works departments and private establishments."
90010,Manufacturing managers,"Manufacturing managers plan, organize, direct, control and evaluate the operations of a manufacturing establishment or of a production department within a manufacturing establishment, under the direction of a general manager or other senior manager. They are employed by manufacturing companies."
90011,Utilities managers,"Utilities managers plan, organize, direct, control and evaluate the operations of utility companies or services of heating fuel distribution companies. The services provided include treatment of water and waste, distribution of water, electricity, natural gas and heating oil to residential, commercial and industrial consumers, waste disposal and waste recycling. They are employed in public and private sector utilities and in heating fuel distribution companies."
92010,"Supervisors, mineral and metal processing","Supervisors in mineral and metal processing supervise and coordinate the activities of workers engaged in mineral and metal processing and manufacturing. They are employed in mineral ore and metal processing plants such as copper, lead and zinc refineries, uranium processing plants, steel mills, aluminum plants, precious metal refineries, cement processing plants, clay, glass and stone processing plants and foundries."
92011,"Supervisors, petroleum, gas and chemical processing and utilities","Supervisors in petroleum, gas and chemical processing and utilities supervise and coordinate the activities of workers in the following unit groups: Central control and process operators, petroleum, gas and chemical processing (93101), Power engineers and power systems operators (92100), Water and waste treatment plant operators (92101), Chemical plant machine operators (94110) and Labourers in chemical products processing and utilities (95102). They are employed by petroleum and natural gas processing, pipeline and petrochemical companies, chemical and pharmaceutical companies, electric power utilities, water and waste treatment utilities and in a range of other industries and institutions."
92012,"Supervisors, food and beverage processing","Supervisors in food and beverage processing supervise and coordinate the activities of workers who operate processing and packaging machines, and workers who grade food and beverage products. They are employed in fruit and vegetable processing plants, dairies, flour mills, bakeries, sugar refineries, fish plants, meat plants, breweries and other food and beverage processing establishments."
92013,"Supervisors, plastic and rubber products manufacturing","Supervisors in plastic and rubber products manufacturing supervise and coordinate the activities of workers who operate processing machines and who fabricate, assemble and inspect rubber or plastic products. They are employed by rubber and plastic products manufacturing companies and in plastic parts divisions of other manufacturing companies."
92014,"Supervisors, forest products processing","Supervisors in forest products processing supervise and coordinate the activities of workers engaged in pulp and paper production and wood processing and manufacturing. They are employed by pulp and paper companies, paper converting companies, sawmills, planing mills, wood treatment plants, waferboard plants and other wood processing companies."
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing","Supervisors in textile, fabric, fur and leather products processing and manufacturing supervise and coordinate the activities of workers engaged in textile, fabric, fur and leather products processing and manufacturing. They are employed by textile manufacturing companies, tanneries and other manufacturers of fabric, fur and leather products."
92020,"Supervisors, motor vehicle assembling","Supervisors in motor vehicle assembling supervise and coordinate the activities of workers in motor vehicle production departments. They are employed in plants which manufacture automobiles, vans and light trucks."
92021,"Supervisors, electronics and electrical products manufacturing","Supervisors in electronics manufacturing supervise and coordinate the activities of workers who assemble, fabricate, test, repair and inspect electronic parts, components and systems. They are employed in electronics manufacturing plants. Supervisors in electrical products manufacturing supervise and coordinate the activities of workers who assemble, fabricate and inspect electrical components, appliances, motors and industrial equipment. They are employed by companies that manufacture electrical products."
92022,"Supervisors, furniture and fixtures manufacturing",Supervisors in furniture and fixtures manufacturing supervise and coordinate the activities of workers who manufacture furniture and fixtures made of wood or other materials. They are employed in furniture and fixtures manufacturing establishments.
92023,"Supervisors, other mechanical and metal products manufacturing","Supervisors in other mechanical and metal products manufacturing supervise and coordinate the activities of workers who fabricate, assemble and inspect mechanical and metal products, such as aircraft and aircraft parts, heavy trucks, buses, trailers, motor vehicle engines, transmissions, heating equipment, commercial refrigeration and similar metal products. They are employed by a wide variety of manufacturing companies."
92024,"Supervisors, other products manufacturing and assembly","Supervisors in other products manufacturing and assembly supervise and coordinate the activities of workers who assemble, fabricate and inspect a variety of products, such as jewellery, clocks and watches, millwork, sporting goods, toys and other miscellaneous products. They are employed in a wide variety of manufacturing companies."
92100,Power engineers and power systems operators,"Power engineers operate and maintain reactors, turbines, boilers, generators, stationary engines and auxiliary equipment to generate electrical power and to provide heat, light, refrigeration and other utility services for commercial, institutional and industrial buildings and other work sites. Power systems operators monitor and operate switchboards and related equipment in electrical control centres to control the distribution of electrical power in transmission networks. They are employed by power generation plants, electrical power utilities, manufacturing plants, hospitals, universities and government and commercial establishments. Apprentices are also included in this unit group."
92101,Water and waste treatment plant operators,"Water treatment plant operators monitor and operate computerized control systems and related equipment in water filtration and treatment plants to regulate the treatment and distribution of water. Liquid waste plant operators monitor and operate computerized control systems and related equipment in wastewater, sewage treatment and liquid waste plants to regulate the treatment and disposal of sewage and wastes. They are employed by municipal governments and industrial facilities. This unit group also includes waste treatment plant operators in composting plants and other waste management facilities."
93100,"Central control and process operators, mineral and metal processing","Central control and process operators, mineral and metal processing, operate and monitor multi-function process control machinery and equipment to control the processing of mineral ores, metals or cement. They are employed in mineral ore and metal processing plants such as copper, lead and zinc refineries, uranium processing plants, steel mills, aluminum plants, precious metal refineries and cement processing plants."
93101,"Central control and process operators, petroleum, gas and chemical processing","Central control and process operators in petroleum, gas and chemical processing monitor and operate petroleum, petrochemical and chemical plants and monitor, adjust and maintain processing units and equipment in these plants. They are employed by petroleum and natural gas processing, pipeline and petrochemical companies and industrial, agricultural and specialty chemical and pharmaceutical companies."
93102,"Pulping, papermaking and coating control operators","Pulping, papermaking and coating control operators operate and monitor multi-function process control machinery and equipment to control the processing of wood, scrap pulp, recyclable paper, cellulose materials, paper pulp and paperboard. They are employed by pulp and paper companies."
93200,Aircraft assemblers and aircraft assembly inspectors,"Aircraft assemblers assemble, fit and install prefabricated parts to manufacture fixed wing or rotary wing aircraft or aircraft subassemblies. Aircraft assembly inspectors inspect aircraft assemblies for adherence to engineering specifications. They are employed by aircraft and aircraft subassembly manufacturers."
94100,"Machine operators, mineral and metal processing","Machine operators in mineral and metal processing operate machinery to process mineral ore and metal. They are employed in mineral ore and metal processing plants such as copper, lead and zinc refineries, uranium processing plants, steel mills, aluminum plants, precious metal refineries and cement processing plants."
94101,Foundry workers,"Foundry workers make foundry moulds and cores by hand or machine, cast molten metal, and operate furnaces in the foundry industry. They are employed by metal foundries and foundry departments of metal products manufacturing companies."
94102,Glass forming and finishing machine operators and glass cutters,"Glass forming and finishing machine operators operate multi-function process control machinery or single-function machines to melt, form, cut or finish flat glass, glassware, bottles, and other glass products. Glass cutters cut flat glass of various thicknesses to specified sizes and shapes by hand. They are employed by glass and glass products manufacturing companies."
94103,"Concrete, clay and stone forming operators","Concrete, clay and stone forming operators cast and finish concrete products, operate machines to extrude, mould, press and bake clay products, and operate machines to form, cut and finish stone products. They are employed by concrete, clay and stone products manufacturing companies."
94104,"Inspectors and testers, mineral and metal processing","Inspectors and testers in mineral and metal processing inspect, grade, sample or test raw materials and products from mineral ore and metal processing operations. They are employed in mineral ore and metal processing plants such as copper, lead and zinc refineries, uranium processing plants, steel mills, aluminum plants, precious metal refineries, cement processing plants, clay, glass and stone processing plants and foundries."
94105,Metalworking and forging machine operators,"Light metalworking machine operators operate metalworking machines which shape and form sheet or other light metal into parts or products. Heavy metalworking machine operators operate metalworking machines which shape and form steel or other heavy metal into parts or products. Forging machine operators operate forging machines to form and shape metal into various shapes and sizes and impart desired strength, hardness or other characteristics. Light metalworking machine operators are employed by sheet metal products manufacturing companies, sheet metal shops and other light metal products manufacturing establishments. Heavy metalworking machine operators are employed by structural steel fabrication, boiler and platework manufacturing companies, heavy machinery manufacturing companies and in the shipbuilding industry. Forging machine operators are employed primarily in the fabricated metal products, machinery and transportation equipment manufacturing industries."
94106,Machining tool operators,Machining tool operators set up and operate or tend metal-cutting machines designed for repetitive machining work. They are employed by metal products and other manufacturing companies and in machine shops. This unit group also includes workers who etch or chemically mill metal pieces.
94107,Machine operators of other metal products,"Other metal products machine operators operate one or more automatic or multi-purpose machines to produce a variety of metal parts and products, such as wire mesh, nails, bolts and chains. They are employed by a wide variety of metal products manufacturing companies."
94110,Chemical plant machine operators,"Chemical plant machine operators monitor and operate units and machinery to blend, mix, process and package a wide range of specialty chemicals, pharmaceuticals, cleaning and toiletry products. They are primarily employed in chemical, cleaning compound, ink and adhesive industries, but may also be employed by chemical processing departments in other industries."
94111,Plastics processing machine operators,"Plastics processing machine operators set up and operate plastic mixing, calendering, extruding and moulding processing machines used in the manufacture of plastic parts and plastic products. They are employed by plastic products manufacturing companies."
94112,Rubber processing machine operators and related workers,Rubber processing machine operators and related workers operate rubber processing machinery and assemble and inspect rubber products. They are employed by tire manufacturers and other rubber products manufacturing companies.
94120,Sawmill machine operators,"Sawmill machine operators operate, monitor and control automated lumbermill equipment to saw timber logs into rough lumber; saw, trim and plane rough lumber into dressed lumber of various sizes; and saw or split shingles and shakes. They are employed in sawmills and planing mills."
94121,"Pulp mill, papermaking and finishing machine operators","Pulp mill and papermaking and finishing machine operators operate and monitor various types of processing machinery and equipment to produce pulp and assist papermaking and coating control operators to produce, coat and finish paper. They are employed by pulp and paper companies."
94122,Paper converting machine operators,"Paper converting machine operators operate various machines which fabricate and assemble paper products such as paper bags, containers, boxes, envelopes and similar articles. They are employed by paper products manufacturing companies."
94123,Lumber graders and other wood processing inspectors and graders,"Lumber graders and other wood processing inspectors and graders inspect and grade lumber, shingles, veneer, waferboard and similar wood products to identify defects, ensure conformance to company specifications and classify products according to industry standards. They are employed by sawmills, planing mills, wood treatment plants, waferboard plants and other wood processing companies."
94124,Woodworking machine operators,"Woodworking machine operators set up, program and operate one or more woodworking machines to fabricate or repair wooden parts for furniture, fixtures or other wood products. They are employed in furniture, fixture and other wood products manufacturing establishments."
94129,Other wood processing machine operators,"Other wood processing machine operators operate and tend wood processing equipment and machines to remove bark from logs, produce wood chips, preserve and treat wood, and produce waferboards, particleboards, hardboards, insulation boards, plywood, veneers and similar wood products. They are employed in sawmills, woodrooms of pulp mills, planing mills, wood treatment plants, waferboard plants and other wood processing plants."
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers","Textile fibre and yarn processing machine operators and workers operate machines to prepare textile fibres; spin, wind or twist yarn or thread; and bleach, dye or finish yarn, thread, cloth or textile products. They are employed by textile manufacturing companies. Hide and pelt processing machine operators and workers trim, scrape, clean, tan, buff and dye animal hides, pelts or skins to produce leather stock and finished furs. They are employed by leather tanning, fur dressing and leather and fur dyeing establishments."
94131,"Weavers, knitters and other fabric making occupations","Weavers, knitters and other workers in fabric making occupations operate machines to process yarn or thread into woven, non-woven and knitted products such as cloth, lace, carpets, rope, industrial fabric, hosiery and knitted garments or to quilt and embroider fabric. This unit group also includes workers who perform activities such as reproducing patterns, drawing-in and tying warps and setting up looms. They are employed by textile companies and by garment and mattress manufacturing companies."
94132,Industrial sewing machine operators,"Industrial sewing machine operators operate sewing machines to sew fabric, fur, leather or synthetic materials to produce or repair garments and other articles. They are employed in clothing, footwear, textile products, fur products and other manufacturing establishments and by furriers."
94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing","Inspectors and graders in textile, fabric, fur and leather products manufacturing inspect and grade textile, fabric, fur and leather products. They are employed by textile companies, leather tanning and fur dressing establishments and garment, fur and leather products manufacturers."
94140,"Process control and machine operators, food and beverage processing","Process control and machine operators in food and beverage processing operate multi-function process control machinery and single-function machines to process and package food and beverage products. They are employed in fruit and vegetable processing plants, dairies, flour mills, bakeries, sugar refineries, meat plants, breweries, and other food and beverage processing establishments."
94141,"Industrial butchers and meat cutters, poultry preparers and related workers","Industrial butchers and meat cutters, poultry preparers and related workers prepare meat and poultry for further processing or for packaging for wholesale distribution. They are employed in meat and poultry slaughtering, processing and packing establishments."
94142,Fish and seafood plant workers,"Labourers in fish and seafood processing perform clean-up, packaging, material handling and other elemental activities related to fish and seafood processing. They are employed in fish and seafood processing and packaging plants."
94143,"Testers and graders, food and beverage processing","Testers and graders in food and beverage processing test or grade ingredients and finished food or beverage products to ensure conformance to company standards. They are employed in fruit and vegetable processing plants, dairies, flour mills, bakeries, sugar refineries, fish plants, meat plants, breweries and other food and beverage processing plants."
94150,Plateless printing equipment operators,"Plateless printing equipment operators operate laser printers, computerized high speed colour copiers and other printing machines to print text, illustrations and designs on a wide variety of materials such as paper, plastic, glass, leather, and metal. They are employed in rapid printing services, newspaper and magazine publishing companies, commercial printing companies and in manufacturing and other establishments that have in-house printing facilities."
94151,"Camera, platemaking and other prepress occupations","Camera and platemaking workers operate graphic arts cameras and scanners, assemble film and negatives and prepare, engrave and etch printing plates or cylinders for various types of printing presses. They are employed in firms that specialize in colour graphics or platemaking and cylinder preparation, commercial publishing and printing companies, newspapers, magazines, and in various establishments in the public and private sectors that have in-house printing departments."
94152,Binding and finishing machine operators,"Binding and finishing machine operators set up, operate or oversee the operation of machines, equipment or computerized units that bind and finish printed material. Workers who perform finishing operations in the paper, carton and packaging industries, as well as those who encode and stamp plastic cards, are included in this unit group. They are employed by binderies, commercial printing companies, newspapers, magazines, and other publishing companies, and establishments in both the public and private sectors that have in-house printing, binding and finishing departments."
94153,Photographic and film processors,Photographic and film processors process and finish still photographic film and motion picture film. They are employed in film processing laboratories and retail photofinishing establishments.
94200,"Motor vehicle assemblers, inspectors and testers","Motor vehicle assemblers assemble and install prefabricated motor vehicle parts and components to form subassemblies and finished motor vehicles. Motor vehicle inspectors and testers inspect and test parts, subassemblies, accessories and finished products to ensure proper performance and conformity to quality standards. They are employed in plants which manufacture automobiles, vans and light trucks."
94201,"Electronics assemblers, fabricators, inspectors and testers","Electronics assemblers and fabricators assemble and fabricate electronic equipment, parts and components. Electronics inspectors and testers inspect and test electronic and electromechanical assemblies, subassemblies, parts and components to ensure conformance to prescribed standards. They are employed in electronics manufacturing plants."
94202,"Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","Assemblers in electrical appliance, apparatus and equipment manufacturing assemble prefabricated parts to produce household, commercial and industrial appliances and equipment. Inspectors inspect and test the assembled products. This unit group also includes workers who set up and prepare assembly lines for operation. They are employed by electrical appliance and electrical equipment manufacturing companies."
94203,"Assemblers, fabricators and inspectors, industrial electrical motors and transformers","Assemblers, fabricators and inspectors of industrial electrical motors and transformers assemble, fabricate, fit, wire and inspect heavy-duty industrial electrical equipment. They are employed by manufacturers of industrial electric motors, transformers, control equipment, railway locomotives, transit vehicles and other heavy electrical equipment."
94204,Mechanical assemblers and inspectors,"Mechanical assemblers assemble a wide variety of mechanical products such as trucks, buses, snowmobiles, garden tractors, automotive engines, transmissions, outboard motors, gearboxes, hydraulic pumps and sewing machines. Inspectors check and inspect subassemblies and finished products to ensure proper quality and product specifications. They are employed by machinery and transportation equipment manufacturers and by other manufacturing companies."
94205,"Machine operators and inspectors, electrical apparatus manufacturing","Machine operators and inspectors in electrical apparatus manufacturing operate machinery or equipment to fabricate complete products or parts for use in the assembly of electrical appliances and equipment, and electrical apparatus, such as batteries, fuses and plugs. Inspectors in this unit group inspect and test completed parts and production items. Workers in this unit group are employed by electrical appliance and electrical equipment manufacturing companies."
94210,"Furniture and fixture assemblers, finishers, refinishers and inspectors","Furniture and fixture assemblers assemble parts to form subassemblies or complete articles of furniture and fixtures. Furniture finishers finish new wood or metal furniture to specified colour and finish. Furniture refinishers refinish repaired, used or old furniture. Inspectors inspect furniture and fixture subassemblies and finished products to ensure product quality. They are employed by furniture manufacturing companies, manufacturing plants, retail furniture stores, refinishing and repair shops, or may be self-employed."
94211,Assemblers and inspectors of other wood products,"Assemblers of other wood products assemble a variety of wood products and millwork, such as window sashes and doors. Inspectors inspect wood products to ensure product quality. They are employed by establishments engaged in manufacturing a variety of wood and millwork products."
94212,"Plastic products assemblers, finishers and inspectors","Plastic products assemblers, finishers and inspectors assemble, finish and inspect plastic parts and finished products. They are employed by plastic products manufacturing companies and plastic parts divisions of aircraft or other manufacturing companies."
94213,"Industrial painters, coaters and metal finishing process operators","Industrial painters and coaters operate and tend machines or use brushes and spray equipment to apply paint, enamel, lacquer or other non-metallic protective and decorative coatings to surfaces of various products. Metal finishing process operators operate machines or equipment to deposit metallized substances on workpieces and surfaces to provide decorative, protective and restorative coatings. These workers are employed by manufacturing companies and custom refinishing, coating and plating shops."
94219,"Other products assemblers, finishers and inspectors","Other products assemblers, finishers and inspectors assemble, finish and inspect components or products of various materials, such as jewellery, silverware, buttons, pencils, non-prescription lenses, brushes, clocks and watches, musical instruments, sporting goods, toys, boats and other miscellaneous products. They are employed by a wide variety of manufacturing companies."
95100,Labourers in mineral and metal processing,"Labourers in mineral and metal processing perform material handling, clean-up, packaging and other elemental activities related to mineral ore and metal processing. They are employed in mineral ore and metal processing plants such as copper, lead and zinc refineries, uranium processing plants, steel mills, aluminum plants, precious metal refineries, cement processing plants, clay, glass and stone processing plants and foundries."
95101,Labourers in metal fabrication,"Labourers in metal fabrication remove excess metal and unwanted materials from metal parts, castings and other metal products and perform other labouring activities. They are employed in structural steel, boiler and platework fabrication plants, heavy machinery manufacturing plants, sheet metal fabrication shops, shipbuilding and other metal products manufacturing companies."
95102,Labourers in chemical products processing and utilities,"Labourers in chemical products processing and utilities carry out a variety of material handling, cleaning and routine general labouring activities. They are employed by petroleum and natural gas processing, pipeline and petrochemical, chemical and pharmaceutical companies, and by electrical, water and waste treatment utilities and services."
95103,"Labourers in wood, pulp and paper processing","Labourers in wood, pulp and paper processing carry out a variety of general labouring and routine wood processing activities and assist pulp mill and papermaking machine operators. They are employed by pulp and paper, and paper converting companies, sawmills, planing mills, wood treatment plants, waferboard plants and other wood processing companies."
95104,Labourers in rubber and plastic products manufacturing,"Labourers in rubber and plastic products manufacturing assist machine operators, transport materials and perform other similar tasks. They are employed by rubber and plastic products manufacturing companies."
